Coast-Guard-Sector-Mobile-AL,8736897,MCGA1,30.65,-88.06,30.89,30.33,29.48,28.63,1,1,P,0,9,0,G
Bayou-La-Batre-Bridge-AL,8739803,BLBA1,30.41,-88.25,29.33,28.41,27.58,26.8,1,1,P,0,9,0,G
West-Fowl-River-Bridge-AL,8738043,WFRA1,30.38,-88.16,21.95,21.16,20.32,19.47,1,1,P,0,9,0,G
Dauphin-Island-AL,8735180,DILA1,30.25,-88.08,4.91,4.08,3.44,2.88,1,1,P,0,9,0,G
Dog-River-Bridge-AL,8735391,BYSA1,30.57,-88.09,31.42,30.58,29.75,28.94,1,1,P,0,9,0,G
Pillar-Point-Harbor-CA,9414131,ZZZZZ,37.5,-122.48,7.32,5.64,3.03,0.04,0,1,P,0,9,0,P
Port-San-Luis-CA,9412110,PSLC1,35.18,-120.76,11.35,9.58,7.05,4.25,1,1,P,0,9,0,P
Mare-Is-Naval-Shipyard-CA,9415218,ZZZZZ,38.07,-122.25,10.02,8.68,6,2.93,0,1,P,0,9,0,P
Santa-Barbara-CA,9411340,NTBC1,34.41,-119.69,10.39,8.56,5.95,3.16,1,1,P,0,9,0,P
San-Francisco-CA,9414290,FTPC1,37.81,-122.47,13.24,11.82,9.1,5.98,1,1,P,0,9,0,P
Martinez-amorco-Pier-CA,9415102,MZXC1,38.03,-122.13,41.54,40.46,37.96,35.1,1,1,P,0,9,0,P
Arena-Cove-CA,9416841,ANVC1,38.91,-123.71,36.59,34.81,32.08,28.94,1,1,P,0,9,0,P
Monterey-CA,9413450,MTYC1,36.6,-121.89,10.42,8.72,6.21,3.38,0,1,P,0,9,0,P
North-Spit-CA,9418767,HBYC1,40.77,-124.22,23.41,21.4,18.25,14.55,1,1,P,0,9,0,P
Noyo-Harbor-CA,9417426,ZZZZZ,39.42,-123.81,7.84,5.93,3.11,-0.17,0,1,P,0,9,0,P
Point-Reyes-CA,9415020,PRYC1,38,-122.97,11.41,9.72,7.06,3.96,1,1,P,0,9,0,P
Richmond-CA,9414863,RCMC1,37.93,-122.4,19.16,17.63,14.83,11.57,1,1,P,0,9,0,P
Oakland-Inner-Harbor-CA,9414764,ZZZZZ,37.8,-122.28,12.25,10.79,7.74,4.42,0,1,P,0,9,0,P
Crescent-City-CA,9419750,CECC1,41.74,-124.18,12.56,10.56,7.39,3.69,1,1,P,0,9,0,P
Los-Angeles-CA,9410660,OHBC1,33.72,-118.27,11.17,9.32,6.65,3.83,1,1,P,0,9,0,P
Oil-Platform-Harvest-CA,9411406,HRVC1,34.47,-120.67,51.98,50.07,47.55,44.83,1,1,P,0,9,0,P
Alameda-CA,9414750,AAMC1,37.77,-122.3,11.31,9.93,6.78,3.33,1,1,P,0,9,0,P
Redwood-City-CA,9414523,RTYC1,37.51,-122.21,16.38,14.93,11.13,6.73,1,1,P,0,9,0,P
Dumbarton-Bridge-San-Fansisco-Bay-CA,9414509,ZZZZZ,37.51,-122.11,22.17,20.61,16.68,12,0,1,P,0,9,0,P
Coyote-Creek-CA,9414575,RYAC1,37.47,-122.02,11.41,8.58,4.6,-0.27,0,1,P,0,9,0,P
San-Diego-CA,9410170,SDBC1,32.71,-117.17,11.51,9.51,6.73,3.79,1,1,P,0,9,0,P
La-Jolla-CA,9410230,LJAC1,32.87,-117.26,11.51,9.7,7.1,4.37,1,1,P,0,9,0,P
Port-Chicago-CA,9415144,PCOC1,38.06,-122.04,10.15,8.9,6.55,3.99,1,1,P,0,9,0,P
Santa-Monica-CA,9410840,ICAC1,34.01,-118.5,9.71,7.87,5.23,2.44,1,1,P,0,9,0,P
Angels-Gate-CA,9410647,ZZZZZ,33.72,-118.25,7.07,5.44,2.78,0,0,1,P,0,9,0,P
Los-Angeles-Pier-J-CA,9410665,ZZZZZ,33.73,-118.19,7.07,5.44,2.78,0,0,1,P,0,9,0,P
Los-Angeles-Pier-400-CA,9410666,ZZZZZ,33.74,-118.24,7.07,5.44,2.78,0,0,1,P,0,9,0,P
Gaviota-State-Park-Pacific-Ocean-CA,9411399,ZZZZZ,34.47,-120.23,50.74,48.89,46.35,43.6,0,1,P,0,9,0,P
Mansfield-Cone-CA,9412802,ZZZZZ,35.95,-121.48,32.24,30.59,28.09,25.35,0,1,P,0,9,0,P
Pier1-San-Francisco-CA,9414311,ZZZZZ,37.8,-122.39,7.47,6.03,3.25,0,0,1,P,0,9,0,P
Oakland-Middle-Harbor-CA,9414769,ZZZZZ,37.8,-122.33,7.47,6.03,3.25,0,0,1,P,0,9,0,P
Oakland-Berth34-San-Francisco-Bay-CA,9414776,ZZZZZ,37.81,-122.33,7.47,6.03,3.25,0,0,1,P,0,9,0,P
Point-Potrero-Richmond-CA,9414847,ZZZZZ,37.91,-122.36,7.47,6.03,3.25,0,0,1,P,0,9,0,P
Bolinas-Bolinas-Lagoon-CA,9414958,ZZZZZ,37.91,-122.68,7.8,6.63,4.55,2.23,0,1,P,0,9,0,P
Point-Pinole-CA,9415056,ZZZZZ,38.02,-122.36,15.68,14.22,11.3,7.98,0,1,P,0,9,0,P
Davis-Point-San-Pablo-Bay-CA,9415141,ZZZZZ,38.06,-122.26,0,0,0,0,0,0,P,0,9,0,P
Sonoma-Creek-Entrance-CA,9415338,ZZZZZ,38.16,-122.41,7.78,6.5,3.78,1.07,0,1,P,0,9,0,P
Green-Cove-Pacific-Ocean-CA,9416409,ZZZZZ,38.7,-123.45,21,18.33,15.77,13.1,0,1,P,0,9,0,P
Pyramid-Point-Smith-River-CA,9419945,ZZZZZ,41.95,-124.2,28.84,26.98,23.99,20.57,0,1,P,0,9,0,P
150-NM-W-Mendocino-Bay-CA,ep46411,ZZZZZ,39.34,-127.01,6.84,5.53,2.99,0,0,1,P,0,9,0,P
175-NM-W-San-Diego-CA,ep46412,ZZZZZ,32.25,-120.7,6.24,4.74,2.44,0,0,1,P,0,9,0,P
Shelter-Cove-CA,9418024,ZZZZZ,40.03,-124.06,9,6.14,3.3,0,0,1,P,0,9,0,P
Trinidad-CA,9419059,ZZZZZ,41.06,-124.15,9,6.73,3.61,0,0,1,S,9419750,9,0,P
Arcata-Warf-CA,9418851,ZZZZZ,40.85,-124.12,8.96,6.94,3.75,0,0,1,S,9418767,9,0,P
Bodega-Bay-CA,9415625,ZZZZZ,38.31,-123.06,7.4,5.9,3.18,0,0,1,S,9414290,9,0,P
Santa-Cruz-CA,9413745,ZZZZZ,36.96,-122.02,6.88,5.24,2.81,0,0,1,S,9413450,9,0,P
New-London-CT,8461490,NLNC3,41.35,-72.09,7.4,6.57,5.06,3.52,1,1,P,0,9,0,E
Bridgeport-CT,8467150,BRHC3,41.17,-73.18,10.8,9.3,5.6,1.98,1,1,P,0,9,0,E
New-Haven-CT,8465705,NWHC3,41.28,-72.91,26.58,25.14,21.75,18.43,1,1,P,0,9,0,E
Stamford-CT,8469198,STDC3,41.04,-73.53,18,14.34,10.42,6.57,1,1,P,0,9,0,E
Clinton-Harbor-CT,8463701,CLIC3,41.27,-72.53,6.25,5.09,2.47,0,0,1,P,0,9,0,E
